NAME                             ,TYPE    ,VERSION,IS_USED_ANYWHERE
ic_star_1.png                    ,multiDpi,       ,
ic_star_2.png                    ,multiDpi,       ,
ic_star_3.png                    ,multiDpi,       ,
ic_star_4.png                    ,multiDpi,       ,
ic_ovo.png                       ,multiDpi,       ,
ic_box_stage_glow.png            ,multiDpi,       ,
gami_count_down.mp3              ,audio,          ,
gami_timeout.mp3                 ,audio,          ,
gf_giftbox_bg_tap_60.mp3         ,audio,          ,
ic_empty_cart.png                ,multiDpi,       ,n
cat_ic_banned_item.png           ,multiDpi,       ,
swd_no_saldo_copy.png            ,multiDpi,       ,
ovo_premier_verifikasi_sukses.png,multiDpi,       ,
kesalahan_teknis.png             ,multiDpi,       ,
ic_som_empty.png                 ,multiDpi,       ,
ic_icon_redirect_seller_app.png  ,multiDpi,       ,
sbank_no_bank_added.png          ,multiDpi,       ,
bg_gradient_profile_by_me.png    ,multiDpi,       ,
tokopedia_out_of_indonesia.png   ,multiDpi,       ,
image_message_thank_you.png      ,multiDpi,       ,
image_rating_request.png         ,multiDpi,       ,
image_message_request.png        ,multiDpi,       ,
phone_verification.png           ,multiDpi,1      ,
sinar_rewards_3_x.png            ,multiDpi,       ,
swd_prgrm_withdrawal.png         ,multiDpi,       ,
img_selfie_id.webp               ,multiDpi,       ,
swd_img_sucs_page.png            ,singleDpi,      ,
imagecouponerror.png             ,singleDpi,      ,
coupon_emptylistimage.png        ,multiDpi,       ,
claim_successful.png            ,multiDpi,       ,
user_no_reward.webp              ,multiDpi,       ,
ic_product_empty_state.png       ,multiDpi,       ,
filter_no_message_found.png      ,multiDpi,       ,
no_messages.png                  ,multiDpi,       ,
sale_end_state.png               ,multiDpi,       ,